date;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;wine type;sulphates;alcohol;quality;store type
01-01-2022;99;54;45;23;71;16;40;;339;red;62;94;medium;store
01-01-2022;82;31;4;22;58;6;10;;331;white;68;112;high;bar
01-01-2022;64;57;2;18;67;4;11;;346;red;68;95;medium;bar
01-01-2022;7;49;49;56;6;26;121;;334;red;76;105;medium;store
02-01-2022;7;38;49;25;97;33;85;;339;red;77;114;medium;restaurant
02-01-2022;71;43;42;55;71;28;128;;342;red;71;105;medium;bar
03-01-2022;86;49;28;19;11;20;136;;293;white;195;99;medium;restaurant
03-01-2022;108;5;46;25;73;5;27;;305;white;64;95;medium;restaurant
03-01-2022;74;5;47;2;86;21;73;;336;white;57;91;medium;store
03-01-2022;66;815;2;27;72;17;34;;358;red;89;123;high;restaurant
04-01-2022;71;75;1;22;59;11;18;99242;339;red;4;128;medium;store
05-01-2022;77;915;12;22;143;7;23;;335;red;65;102;high;store
05-01-2022;69;54;4;3;77;7;27;;369;white;91;94;medium;store
06-01-2022;64;53;9;39;123;14;31;;35;red;67;11;low;restaurant
06-01-2022;6;58;2;24;75;15;50;99467;358;white;67;125;medium;bar
06-01-2022;107;52;38;26;66;29;56;99577;315;white;79;121;high;store
06-01-2022;78;56;19;21;81;15;105;9962;333;white;54;95;medium;bar
07-01-2022;56;;0;25;66;7;15;;352;white;58;129;medium;restaurant
07-01-2022;62;56;9;17;53;24;32;99402;354;red;6;113;medium;restaurant
07-01-2022;87;52;9;25;91;20;49;;334;white;86;106;high;bar
07-01-2022;9;6;29;2;69;32;73;;334;white;57;10;medium;store
07-01-2022;68;59;6;6;6;11;18;9962;341;white;59;108;high;restaurant
08-01-2022;72;655;3;18;78;7;12;;334;white;39;95;medium;bar
08-01-2022;68;775;0;3;102;8;23;9965;345;white;56;107;medium;restaurant
08-01-2022;8;59;16;18;65;3;16;;342;white;92;105;high;store
08-01-2022;155;645;49;42;95;10;23;;292;red;74;111;medium;restaurant
09-01-2022;68;59;1;17;63;34;53;;341;white;67;97;medium;bar
09-01-2022;109;37;58;4;71;17;65;;322;white;78;101;medium;restaurant
09-01-2022;74;64;7;18;1;8;23;;33;white;58;96;medium;restaurant
10-01-2022;74;55;22;22;106;12;72;;305;red;63;92;medium;store
10-01-2022;92;59;24;33;101;20;47;;326;red;67;96;medium;bar
11-01-2022;12;45;55;2;73;25;49;;31;white;76;103;medium;bar
11-01-2022;132;46;52;22;71;12;35;;31;red;56;9;medium;restaurant
11-01-2022;79;72;1;19;76;7;32;;339;red;54;96;medium;store
11-01-2022;116;475;4;14;91;6;28;;307;red;65;100333000000000;medium;bar
11-01-2022;82;885;2;14;86;7;31;;311;white;46;10;medium;restaurant
11-01-2022;125;46;63;2;71;6;15;;299;red;87;102;medium;bar
11-01-2022;76;;29;19;78;29;66;;345;white;59;95;medium;store
12-01-2022;91;4;5;18;71;7;16;;321;white;69;125;high;store
12-01-2022;56;5;9;23;49;17;99;9937;363;red;63;13;medium;store
12-01-2022;87;7;24;25;226;5;15;;332;red;6;9;medium;store
12-01-2022;9;66;17;3;77;5;13;9976;329;red;55;104;medium;store
13-01-2022;68;47;8;22;64;18;38;99553;33;red;65;96;medium;store
